Black-footed gray langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Kashmir gray langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Nepal gray langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Nilgiri langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Northern plains gray langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Tarai gray langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Tufted gray langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Purple-faced langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Pig-tailed langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Annamese langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Capped langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Cat Ba langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Delacour's langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Dusky leaf monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
East Javan langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
François' langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Gee's golden langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Germain's langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Hatinh langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Indochinese black langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Indochinese grey langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Laotian langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Phayre's leaf monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Popa langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Shortridge's langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Selangor silvered langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Silvery lutung,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Tenasserim lutung,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
West Javan langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
White-headed langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Eastern gorilla,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Western gorilla,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Human,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Bonobo,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Chimpanzee,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Bornean orangutan,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Sumatran orangutan,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Tapanuli orangutan,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Eastern hoolock gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Skywalker hoolock gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Western hoolock gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Agile gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Bornean white-bearded gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Eastern grey gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Kloss's gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Lar gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Müller's gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Pileated gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Silvery gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Western grey gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Black crested gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Eastern black crested gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Hainan black crested gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Northern buffed-cheeked gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Northern white-cheeked gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Southern white-cheeked gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Yellow-cheeked gibbon,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Siamang,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Azara's night monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Black-headed night monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Brumback's night monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Gray-bellied night monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Gray-handed night monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Hernández-Camacho's night monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Nancy Ma's night monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Panamanian night monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Peruvian night monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Spix's night monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
